show_name,watchtime_hrs,views,num_2025_videos,FeatureCountry,genre
The MeidasTouch Podcast,113385942.4,1002173119,1322,US,News & Politics
The Joe Rogan Experience,240131219.3,395225451,137,US,Interview & Talk
Good Mythical Morning with Rhett & Link,99778476.22,381450223,156,US,Comedy & Entertainment
Rotten Mango,141625962.5,272173696,50,US,True Crime
48 Hours,96419436.41,243134227,90,US,True Crime
Law&Crime Sidebar with Jesse Weber,37579260.83,220134599,615,US,News & Law
The Why Files: Operation Podcast,81943499.81,209603521,29,US,Mystery & Conspiracy
The Luke Beasley Show,19389386.18,208037065,825,US,News & Politics
IHIP News,22264451.46,201783961,621,US,News
Dr. Insanity Podcasts,55279235.13,201575840,18,US,Comedy & Entertainment
Brian Tyler Cohen,19537519.55,201159210,357,US,News & Politics
The DeVory Darkins Show,27777119.82,194946848,402,US,
FULL SURAHS,79571334.36,174158679,969,US,
A Closer Look - Late Night with Seth Meyers,24771454.43,166421660,75,US,
Breaking Points,22995639.5,162855764,967,US,
Farron Balanced,7872188.807,158085038,947,US,
KILL TONY,105185733.4,150339482,38,US,Comedy & Live Show
Smosh Reads Reddit Stories,77322039.13,148131763,34,US,
Bulwark Takes,17426777.93,143765969,809,US,
Legal AF Podcast,20720722.55,142645391,393,US,
کلیپ کوتاه استند آپ کمدی‌های مکس امینی,3306153.16,141100170,138,US,
The Adam Mockler Show,9586971.686,139351087,444,US,
Financial Audit,59787689.52,139346809,102,US,
This Past Weekend w/ Theo Von,63668239.37,136577859,59,US,
NBC Nightly News with Tom Llamas,24717134.42,134574604,230,US,
The Ramsey Show Highlights,11868105.36,130121916,709,US,
The Tucker Carlson Show,47835211.41,122694814,109,US,News & Politics
Timcast News Stories,14925554.34,122137371,687,US,
ROF Daily Updates,5099524.079,119373193,889,US,
"Подкасты - Мировая политика: США, Китай, Россия, Украина",42636875.58,117885569,140,US,
Shawn Ryan Show,74165036.22,116621019,80,US,
Caso Cerrado - Pleitos familiares con escándalo,30300292.61,116510234,152,US,
The Philip DeFranco Show (Every Mon-Tues-Wed-Thurs-Friday!),27321842.9,110670746,145,US,
The Intersection with Michael Popok,8669114.619,105141451,909,US,
Direito Estatal (Podcast),10249539.57,101286023,557,US,
Conan O'Brien Needs A Friend,12345654.64,99500107,148,US,
Bulwark Super Feed,23733954.91,99025910,1076,US,
Jack Cocchiarella Show,8361202.153,96093139,332,US,
#RolandMartinUnfiltered,16726862.51,94438163,628,US,
All Videos,18637775.13,93937607,255,US,
The Young Turks,9690390.01,87145647,960,US,
"Murder, Mystery & Makeup",44434751.59,84492007,19,US,
